Aafreen,"Enlightenment",f
Aaima,"Leader, ruler",f
Aaminah,"Trusthworthy, safe",f
Aaron,"Messenger",m
Aasfa,"Protector, guardian",f
Aasira,"Captivator",f
Aayun,"Eyes",f
Abaasa,"Lioness",f
Abal,"Wild rose",f
Abbas,"Lion",m
Abbud,"Devoted",m
Abd-El-Kader,"A servant of the powerful",m
Abdia,"Servant of Allah",u
Abdul,"Servant",m
Abdulaziz,"Servant of the Mighty",m
Abdullah,"Servant of Allah",m
Abdullahi,"A form of Abdullah",m
Abdulmalik,"Servant of the Master",m
Abdulrahman,"Servant of the Merciful",m
Abeda,"One who worships",f
Abeer,"Fragrance",f
Abra,"Mother of many",f
Abyah,"Beautiful",f
Adan,"One who resides in heaven",f
Adeebah,"One who has excellent character",f
Adeen,"Obedient, righteous",f
Adeena,"Pious, good luck",f
Aden,"Geography: a region in southern Yemen",m
Adham,"Black",m
Adhara,"A maiden",f
Adifaah,"Smart, intelligent",f
Adil,"Just, wise",m
Adila,"Equal",f
Adira,"Strong",f
Adnan,"Pleasant",m
Aharon,"A form of Aaron",m
Ahbab,"Beloved",f
Ahdia,"Unique, the one",f
Ahina,"Poor, ascetic",f
Ahlam,"Witty",f
Ahmad,"Most highly praised",m
Ahsan,"Charitable",m
Aida,"Visiting, returning; reward",f
Aimen,"Brave, fearless",f
Aini,"Spring",f
Aisha,"Well-off, prosperous",f
Aiza,"Noble",f
Akhil,"A form of Akil",m
Akil,"Intelligent",m
Akilah,"Intelligent, logical",f
Akili,"A form of Akil",m
Akmal,"Perfect",m
Akram,"Most generous",m
Aladdin,"Height of faith",m
Alam,"Universe",m
Alem,"Wise",m
Ali,"Greatest",m
Alia,"Exalted",f
Alim,"Scholar",m
Alima,"Wise",f
Alishba,"Lovely, innocent",f
Aliyah,"Exalted; to go up",f
Alladin,"Nobility of faith",m
Almanzor,"Triumphant",m
Almira,"Princess",f
Altair,"Flying eagle",m
Aludra,"Virgin",f
Alyan,"Tall and healthy",f
Amar,"Builder",m
Amara,"Sweetheart, someone dear",f
Amare,"A form of Amar",m
Amari,"A form of Amar",m
Amarion,"A form of Amar",m
Amima,"Complete",f
Amin,"Trustworthy, honest",m
Amina,"Safe, protected",f
Aminat,"Loyal, trustworthy",f
Amir,"Prince",m
Amit,"Highly praised",m
Amreen,"Sky",f
Anaan,"Clouds",f
Anam,"Blessings of God",f
Anaum,"The blessing of Allah",f
Anbar,"Perfume, ambergris",f
Andalah,"Song of the nightingale",f
Anmar,"Leopard",f
Antwan,"A form of Anthony",m
Antwaun,"A form of Anthony",m
Anwar,"Luminous",m
Aqdas,"Pure, sacred",f
Arafat,"Mountain of recognition",m
Aram,"High, exalted",m
Aretas,"Metal forger",m
Arfa,"Exalted, sublime",f
Arif,"Knowledgeable",m
Aroosa,"Bride",f
Aryn,"A form of Aaron",m
Asad,"Lion",m
Asadel,"Prosperous",m
Asbah,"As pure as water",f
Aseel,"Smooth, pure",f
Asfia,"Pure, respectable",f
Ashraf,"Most honorable",m
Asif,"Forgiveness",m
Asifa,"Virtuous, pure",f
Asjad,"Gold",f
Aswad,"Black",m
Athir,"Favored, preferred",f
Atif,"Caring",m
Ayman,"Fortunate, blessed",f
Ayna,"One who has beautiful eyes",f
Ayra,"Respectable",f
Ayub,"Penitent",m
Azah,"Loved one; good, successful",f
Azhar,"Luminous",m
Azim,"Defender",m
Babu,"Grandfather",m
Badiha,"Insight",f
Badyah,"Clear; a knowledgeable person",f
Bahir,"Brilliant",m
Barkat,"Growth",f
Basam,"Smiling",m
Basel,"Brave",m
Benincasa,"Child of Qasim",m
Bilal,"Chosen",m
Bisma,"Smiling",f
Borak,"Lightning",m
Boulus,"A form of Pablo",m
Butrus,"A form of Peter",m
Cairo,"Geography: the capital of Egypt",m
Carim,"Generous",m
Casildo,"The youth who carries the lance",m
Cemal,"Attractive",m
Chakir,"The chosen one",m
Coman,"Noble",m
Dabbah,"Latch, door lock",m
Dabir,"Tutor",m
Dahab,"Gold",f
Dameer,"Heart, conscience",m
Dawid,"Prince",m
Dekel,"Palm tree",m
Eesha,"She who lives",f
Emir,"Chief, commander",m
Emran,"Progress, achievement",m
Fadheela,"Virtuous, oustanding",f
Fadi,"Redeemer",m
Fadil,"Generous",m
Faheem,"Intelligent",m
Faiqa,"Excellent, superior",f
Faisal,"Decisive",m
Fakhir,"Excellent",m
Fakih,"Thinker; reader of the Koran",m
Fakira,"Thinker",f
Falah,"Success",m
Fanan,"A tree branch or a twig",f
Fanila,"Able, worthy",f
Faraz,"A form of Faris",m
Fareeha,"Happy, joyful",f
Farid,"Unique",m
Faris,"Horseman",m
Farug,"Honest",m
Farzeen,"Learned",f
Fasiya,"A gentle woman",f
Fath,"Victor",m
Fatin,"Clever",m
Fayha,"Fragrance",f
Ferran,"Baker",m
Fikriyah,"Intellectual",f
Filza,"A rose from heaven",f
Firas,"Persistent",m
Fiza,"Wide, open-hearted",f
Furat,"Sweet water",f
Gadi,"God is my fortune",m
Gamal,"Camel",m
Gharam,"Love",f
Ghashia,"Guidance",f
Ghasna,"Bud, blossom",f
Ghatiya,"Dynamic, moving",f
Ghazi,"Conqueror",u
Ghusoon,"Branches of a tree",f
Gilad,"Camel hump",m
Gulnaz,"Cute like a flower",f
Habib,"Beloved",m
Haddad,"Blacksmith",m
Hadi,"Guiding to the right",m
Haemah,"Crazy in love",f
Hafifah,"The sound of wind moving through trees",f
Haidar,"Lion",m
Haider,"A form of Haidar",m
Haiqa,"Obedient of God",f
Hakeem,"A form of Hakir",m
Halim,"Mild, gentle",m
Hamal,"Lamb",m
Hamdanah,"Praise",f
Hamed,"A form of Hamid",m
Hamid,"Praised",m
Hamza,"Powerful",m
Hamzah,"A form of Hamza",m
Hanadi,"Beautiful",f
Hanbal,"Pure",m
Hanif,"True believer",m
Harith,"Cultivator",m
Haroon,"A form of Haroun",m
Hasan,"A form of Hassan",m
Hashim,"Destoyer of evil",m
Hassan,"Handsome",m
Hatim,"Judge",m
Hawadah,"Pleasant",f
Hena,"Greenery",f
Hilal,"New moon",m
Hud,"A Muslim prophet",m
Hulwi,"Sweet",f
Husam,"Sword",m
Hussain,"A form of Hussein",m
Hussein,"Little, handsome",m
Hussien,"A form of Hussein",m
Ibadat,"Worship",f
Ibrahim,"A form of Abraham",m
Idris,"A Muslim prophet",m
Imran,"Host",m
Indalecio,"Master",m
Infan,"Thankfulness",m
Iqlas,"Trustful",f
Iraj,"Flower",f
Irfana,"Believer",f
Isa,"A form of Jesus",m
Isam,"Safeguard",m
Isar,"Fascinating",f
Ishaq,"A form of Isaac",m
Islam,"Submission",m
Ismael,"A form of Ishmael",m
Ismail,"A form of Ishmael",m
Jabarah,"A bracelet",f
Jabbar,"Fixer",m
Jabeehah,"Beautiful",f
Jabir,"Consoler, comforter",m
Jablah,"Strength, power",f
Jabril,"A form of Jibril",m
Jadwa,"Gift, present",f
Jafeerah,"River, stream",f
Jahdaa,"One who strives",f
Jakeem,"Uplifted",m
Jaleelah,"Dignified",f
Jalisat,"He who receives little and gives more",m
Jamahl,"A form of Jamal",m
Jamaine,"A form of Germain",m
Jamal,"Handsome",m
Jamale,"A form of Jamal",m
Jawad,"Generous",m
Jawhar,"Jewel, essense",m
Jaza,"Reward",f
Jeric,"A form of Jericho",m
Jericho,"City of the moon",m
Jerick,"A form of Jericho",m
Jerico,"A form of Jericho",m
Jermell,"A form of Jamal",m
Jihad,"Struggle; holy war",m
Jihan,"A river in Iran",f
Jinan,"Garden",m
Joodi,"Kind, working",f
Jumah,"Born on Friday",m
Kadar,"Powerful",m
Kadeem,"Servant",m
Kaden,"A form of Kadin",m
Kadin,"Friend, companion",m
Kadir,"Spring greening",m
Kadyn,"A form of Kadin",m
Kaeden,"A form of Kadin",m
Kaheela,"Grey-eyed",f
Kaiden,"A form of Kadin",m
Kairo,"A form of Cairo",m
Kale,"A form of Khalil",m
Kaled,"Immortal",m
Kalen,"A form of Kale",m
Kalid,"Immortal",m
Kaliq,"A form of Khaliq",m
Kamil,"A form of Kamla",m
Kardal,"Mustard seed",m
Kareem,"Noble, distinguished",m
Karif,"Born in autumn",m
Karim,"A form of Kareem",m
Kaseem,"Divided",m
Kashida,"Hardworking",f
Kasib,"Fertile",m
Kateb,"Writer",m
Kayden,"A form of Kadin",m
Khabira,"Aware, knowing",f
Khafifa,"Small",f
Khaled,"A form of Khalid",m
Khalid,"Eternal",u
Khalil,"Friend",m
Khaliq,"Creative",m
Khayru,"Benevolent",m
Khitfa,"Erroneus, forgetful",f
Khoury,"Priest",m
Khuld,"Paradise, eternal",f
Khulus,"Clearness, purity",f
Khursheed,"Sun",f
Labib,"Sensible, intelligent",m
Lafiza,"As deep as a sea",f
Lahifa,"Helper",f
Laiha,"Glittering",f
Lail,"Night",f
Laila,"Night; of dark beauty",f
Lais,"Lion",m
Laseef,"Glitter",f
Latif,"Friendly, pleasant",m
Latimah,"Scent",f
Lattef,"Gentle, pleasant",u
Layla,"Night",f
Lazim,"Essential, imperative",f
Luja,"Of great depth",f
Lujayn,"Silver",f
Lukman,"Prophet",m
Lutfi,"Kind, friendly",m
Maab,"A beautiful place to which one returns",f
Maali,"Noble things",f
Mada,"Utmost point, degree",f
Maher,"A form of Mahir",m
