Abbott,"Father; a priest",m
Abby,"My father's delight",f
Abe,"A form of Abraham",m
Addison,"Son of Adam",u
Adele,"Graceful, noble",f
Adrian,"Derived from the Latin name Hadrianus",m
Aiken,"Made of oak",m
Aileen,"Torch of light",f
Ainsley,"Meadow",m
Alan,"Harmony, stone",m
Alanna,"Fair",f
Alaric,"All-ruler",m
Albert,"Noble, bright",m
Albion,"White cliffs",m
Aldrich,"An old and wise leader",m
Alex,"Short for Alexander",m
Alexander,"Defender of men",m
Alf,"A form of Alfred",m
Alfred,"Sage, elvin",m
Algernon,"Bearded",m
Alice,"Noble; of good cheer",f
Alina,"Fair",f
Alison,"Of sacred fame",f
Alma,"Nourishing",f
Alvin,"Wise friend",m
Amanda,"Lovable",f
Amber,"A jewel",f
Ambrose,"Immortal",m
Anastasia,"One who shall rise again",f
Andrea,"Daring",f
Andrew,"The English form of Andreas",m
Andy,"A form of Andrew",m
Angela,"God's messenger",f
Angelica,"God's messenger",f
Anthony,"Highly praiseworthy",m
Archer,"Bowman, one who shoots arrows",m
Arnold,"Eagle; power",m
Ash,"Meadow of ash trees",f
Ashley,"A tree of ash",m
Astrid,"Impulsive in love",f
Atwater,"Water side",m
Aubrey,"Supernatural power",m
Audrey,"Strong",f
Austin,"Dignity, or venerable",m
Ava,"Bird",f
Avery,"Counsel",m
Bailey,"Bailiff",u
Baldwin,"Brave friend",m
Barclay,"Derived from the English place Berkeley",m
Barrett,"A form of Baret",m
Bartholomew,"With Biblical origins",m
Baxter,"Baker",m
Beata,"Blessed",f
Beatrice,"She who blesses",f
Belinda,"Pretty, beautiful",f
Belle,"A beautiful woman",f
Benedict,"Blessed",m
Benjamin,"Son of my right hand",m
Bennett,"Derived from the name Benedict",m
Bentley,"Glass clearing",m
Bernard,"A strong bear",m
Bert,"Short for Albert",m
Bianca,"White, pure",f
Bill,"Short for William",m
Blake,"Son of Lake",m
Blanche,"White, fair",f
Blossom,"A blossom",f
Bobby,"Short for Robert",m
Bonnie,"Fair, lovely",f
Brad,"Short for Bradley",m
Bradley,"A broad clearing",m
Brian,"High and noble",m
Bridget,"Powerful, virtuous",f
Brigham,"Bridge settler",m
Britney,"From Britain",f
Brooke,"After a small stream",u
Bruno,"Having a dark or brown complexion",m
Bryant,"A derivation of Brian",m
Buck,"A male deer",m
Bud,"Short for Buddy",m
Byron,"Cattle shed",m
Cade,"Someone lumpy or rotund",m
Caesar,"Derived from the Italian name Cesare",m
Callie,"Free, liberated",f
Calvin,"Derived from the French surname",m
Camelia,"A flower",f
Carl,"Derived from the German name Karl",m
Carmen,"Crimson, red",f
Cary,"Derived from a river in Devon or Summerset",m
Casey,"Vigilant, watchful",m
Cassandra,"Shine upon mankind",f
Cassian,"Derived the Latin name Cassius",m
Cecil,"Blind",m
Cecilia,"Blinded",f
Cedric,"Bounty-pattern",m
Celeste,"Sublime",f
Celia,"Blinded",f
Chad,"Protector",m
Chandler,"A person who makes candles",m
Charlie,"Short for Charles",m
Chelsea,"Harbor",f
Cheryl,"Beloved",f
Chloe,"Green shoot; fresh, blooming",f
Chris,"Short for Christopher",m
Christian,"Follower of Christ",m
Christine,"Of strong Christian faith",f
Christopher,"Carrier of Christ",m
Clara,"Bright and clear",f
Clarissa,"Bright, clear",f
Clay,"Short for Clayton",m
Clement,"From the Latin name Clemens",m
Cliff,"Short for Clifford",m
Clifford,"Near the cliff and ford",m
Clive,"Cliff, slope",m
Cole,"Black",m
Colin,"Short for Nicholas",m
Conrad,"Bold in counsel",m
Constant,"Steadfast",m
Craig,"Rock",m
Crispin,"Curly-headed",m
Curtis,"Courteous",m
Cuthbert,"Famous and bright",m
Cynthia,"Of Cynthus; on the island of Delos",f
Cyril,"Lordly, masterful",m
Dale,"Someone who resides in a valley",u
Daley,"Gathering",m
Damian,"To tame",m
Dana,"From Denmark",f
Dane,"A variant of Dean",m
Daniel,"God is my Judge",m
Danny,"Short for Daniel",m
Daphne,"Bay tree, or laurel tree",f
Darcy,"Derived from the surname d’Arcy",m
Darlene,"Little dear one",f
Darren,"Oak tree",m
Davy,"Short for David",m
Dawn,"Sunrise, daybreak",f
Dean,"Someone who lives in a valley",m
Del,"Short for Derek",m
Dennis,"Derived from Greek name Dionysios",m
Denton,"Valley settlement",m
Derek,"Gifted ruler",m
Derick,"Gifted ruler",m
Dexter,"One who dyes; skilled",m
Digby,"Farm by a ditch",m
Dominic,"Lord",m
Don,"Short for Dominic",m
Donald,"Great chief; world-mighty",m
Doran,"Wanderer",m
Dorian,"Child of the sea",m
Doug,"Dark water, dark stream",m
Douglas,"Black river",m
Drake,"Dragon",m
Drogo,"Ghostly; a phantom",m
Duncan,"Brown warrior",m
Dwayne,"Little dark one",m
Earl,"A nobleman",m
Ebenezer,"A rock or stone of help",m
Echo,"Sound",f
Ed,"Short for Edward",m
Eddie,"Short for Edward",m
Eden,"Delight",m
Edgar,"Rich; spear",m
Edie,"Fighting to be rich",f
Edmond,"Prosperous protector",m
Edwin,"Prosperous friend",m
Egbert,"The bright edge of a sword",m
Eileen,"Bright, shining one",f
Elaine,"Bright, shining one",f
Elbert,"Noble and bright",m
Elena,"Bright, shining light",f
Elise,"God's oath",f
Elizabeth,"God's oath",f
Ella,"Beautiful fairy",f
Ellen,"Light, torch",f
Ellery,"Alder tree",m
Elliot,"Short for Elias",m
Elmer,"Old and noble",m
Eloise,"Healthy, wild",f
Elsie,"Gaiety",f
Elvira,"White, pure",f
Emerson,"Brave, powerful",m
Emily,"Rival, eager",f
Emma,"Universal",f
Emmett,"Universal",m
Erasmus,"To love",m
Eric,"Always a ruler",m
