Abelle,"Bee",f
Absolon,"Father of peace",m
Abélard,"Noble strength",m
Ace,"Noble at birth",m
Acelet,"Noble at birth",m
Acelin,"Little noble one",m
Aceline,"Little noble one",f
Adelard,"Noble strength",m
Adeline,"Little noble",f
Adelle,"Noble",f
Adelphe,"Born of the same womb; sibling",f
Adnet,"Red, earth",m
Adnot,"Red, earth",m
Adolphe,"Noble wolf",m
Adrien,"From Hadria",m
Adrienne,"From Hadria",f
Adèle,"Noble sort",f
Adélaïde,"Noble",f
Adélie,"Noble sort",f
Agate,"Agate",f
Agnès,"Chaste, holy",f
Aillard,"Noble strength",m
Aimeri,"Home-ruler",m
Aimeric,"Home-ruler",m
Aimé,"Much loved",m
Aimée,"Much-loved",f
Alain,"Little rock",m
Alaina,"Little rock",f
Alais,"Noble sort",f
Alard,"Noble strength",m
Albain,"White",m
Albert,"Bright nobility",m
Albertine,"Bright nobility",f
Alexandre,"Defender of mankind",m
Alexandrie,"Defender of mankind",f
Alexandrine,"Defender of mankind",f
Aline,"Little noble",f
Aliénor,"Foreign, the other",f
Allard,"Noble strength",m
Aloys,"Famous warrior",m
Alphonse,"Noble and ready",m
Alphonsine,"Noble, ready",f
Alvery,"Elf council",f
Alveré,"Elf counsel",m
Amaline,"Work",f
Amandine,"Lovable",f
Amarante,"Unfading",f
Ambre,"Amber",f
Ambrosine,"Immortal",f
Amorette,"Little love",f
Anastaise,"Resurrection",f
Anastasie,"Resurrection",f
Anatole,"East, sunrise",m
Andrien,"Man; warrior",m
André,"Man; warrior",m
Andrée,"Man; a warrior",f
Anette,"Favor, grace",f
Angeline,"Angel, messenger",f
Angelique,"Angelic",f
Angèle,"Angel, messenger",f
Annette,"Favor, grace",f
Anouk,"Favor, grace",f
Ansel,"Divine helmet",m
Antoine,"Invaluable",m
Antonin,"Invaluable",m
Apolline,"Of Apollo",f
Ariane,"Utterly pure",f
Arienne,"Utterly pure",f
Arlette,"Eagle",f
Armel,"Warrior prince",m
Armelle,"Stone prince",f
Arnaud,"Eagle power",m
Arnaude,"Eagle power",f
Astor,"Hawk",m
Athenais,"Of Athena",f
Auberon,"Elf ruler",m
Aurèle,"Golden",m
Aveline,"Hazelnut or nut",f
Avery,"Elf counsel",m
Axelle,"Father of peace",f
Baptiste,"Baptist",m
Barbe,"Foreign, strange",f
Bartholomieu,"Son of Talmai",m
Bathylle,"Bold battle",f
Batilde,"Fight-battle",f
Baudouin,"Brave friend",m
Beaumont,"A fair, lovely hill",m
Benjamin,"Son of the right hand",m
Benjamine,"Blessed",f
Benoît,"Blessed",m
Benoîte,"Blessed",f
Bernard,"Bold as a bear",m
Bernardette,"Bold as a bear",f
Bernetta,"Bringer of victory",f
Berthe,"Bright",f
Bertrand,"Bright raven",m
Bianca,"White",f
Bibi,"Bauble, toy",f
Blaise,"Lisp, stutter",m
Blanche,"White",f
Brian,"High, noble",m
Briant,"High hill",m
Brigitte,"Exalted one",f
Bénédict,"Blessed",m
Bénédicte,"Blessed",f
Bérénice,"Bringer of victory",f
Camille,"Attendant for a temple",m
Capucine,"From the French flower name",f
Carole,"Strong",f
Caroline,"Strong",f
Cateline,"Pure",f
Catharine,"Pure",f
Cendrillon,"Little ashes",f
Cerise,"Cherry",f
Cesaire,"Severed",m
Chandler,"Candle merchant",m
Chantal,"Stony place",f
Charles,"Man",m
Charline,"Man",f
Charlotte,"Man",f
Christophe,"Christ-bearer",m
Claire,"Clear, bright",f
Claude,"Limping, stuttering",m
Claudia,"Lame",f
Clementine,"Of Clementius",f
Cleménce,"Gentle and merciful",f
Clotilde,"Famous battle-maid",f
Clovis,"Famous warrior",m
Clément,"Gentle, merciful",m
Colette,"Victor of the people",f
Constantin,"Steadfast",m
Corbin,"Little crow",m
Corine,"Maiden",f
Cornélie,"Of a horn",f
Cosette,"Something small; something trivial",f
Cunégonde,"Brave war",f
Cyrille,"Lord",m
Célestin,"Heavenl",m
Célestine,"Heavenly",f
Céline,"Heaven",f
César,"Severed",m
Damien,"To tame; to subdue",m
