Aibhilín,"Little Eve",f
Aignéis,"Chaste; holy",f
Ailbhe,"White",f
Ailean,"Rock; noble",m
Aileas,"Noble",f
Ailish,"Noble",f
Ailpein,"White",m
Aingeal,"Angel, messenger",f
Aithne,"Kernel",f
Angaidh,"Diminutive of Aonghas",m
Annag,"Favor, grace",f
Aodh,"Fire",m
Aodhan,"Diminutive of Aodh",m
Aoibheann,"Beautiful",f
Art,"Diminutive of Artair",m
Artair,"Bear; or stone",m
Athol,"Ford",f
Barra,"Fair head",m
Bearach,"Spear, pointed weapon",m
Bearchan,"Diminutive of Bearach",m
Bearnas,"Bringer of victory",f
Beathan,"Child of life",m
Blaanid,"Little flower",f
Bláithín,"Flower",f
Bláthnaid,"Little flower",f
Borgach,"Daughter of Jehovah",f
Bran,"Raven",m
Branan,"Form of Bran",m
Brandubh,"Black raven",m
Breandan,"Form of Breannan",m
Brian,"Strength",m
Brianag,"Strength",f
Brianan,"Strength",m
Bríd,"Exalted one",f
Bríghid,"Strength",f
Cailean,"Young warrior",m
Cailín,"Girl",f
Cairbre,"Charioteer, or bearer",m
Caireall,"Form of Coireall",m
Cairistine,"Believer",f
Cairistìona,"Believer",f
Caitir,"Pure",f
Caitlín,"Pure",f
Caitrín,"Pure",f
Caitríona,"Pure",f
Camran,"Bent nose",m
Caoilainn,"Fair and slender",f
Caoilinn,"Fair and slender",f
Caoimhe,"Kind, tender",f
Caorall,"Form of Coireall",m
Carmag,"Form of Cormag",m
Cathal,"Battle mighty",m
Cathalan,"Diminutive of Cathal",m
Catraoine,"Pure",f
Catríona,"Pure",f
Ceallach,"War, strife; bright-headed",m
Ceanag,"Diminutive of Ceana",f
Ciaran,"Dark, shadowy",m
Ciorsdan,"Believer",f
Coinneach,"Fair-haired one",m
Coll,"Form of Colla",m
Colla,"Lofty",m
Conall,"High; powerful",m
Conan,"Wee doggie",m
Conchar,"High will or desire; wolf-lover",m
Conn,"Free man; sense, intelligence",m
Corc,"Heart; crimson",m
Cormag,"Charioteer",m
Cuirealan,"Diminutive of Coireall",m
Curstaidh,"Believer",f
Còmhan,"Twin",m
Damhnait,"Fawn",f
Dearbhail,"True desire",f
Dearbhla,"True poet",f
Dearbháil,"Daughter",f
Deirbhile,"Daughter",f
Deòiridh,"Pilgrim",f
Diarmad,"Without envy",m
Dobharcu,"Otter",m
Doileag,"World ruler",f
Doireann,"Sullen",f
Dolaidh,"Diminutive of Dòmhnall",m
Dolidh,"Diminutive of Dearbhail",f
Donnag,"World ruler",f
Dubh,"Black",m
Dubhshìth,"Black one of peace",m
Dubhthach,"Black",m
Dunlèibhe,"Brown hill or moor",m
Dàn,"Diminutive of Domhnaill",m
Dùghall,"Black stranger",m
Dùghlas,"Black water",m
Eachainn,"Form of Eachann",m
Eachann,"Horse lord",m
Eadan,"Diminutive of Aodh",m
Earc,"Speckled",m
Earnan,"Iron; one of knowledge",m
Eileanóra,"Foreign, the other",f
Eilish,"God is my oath",f
Eilín,"Beauty",f
Elspeth,"God is my oath",f
Eochagan,"Diminutive of Eochaidh",m
Eochaidh,"Horse rider; horse warrior",m
Eoghanan,"Form of Eònan",m
Ethne,"Kernel",f
Eubha,"Life",f
Eògan,"Diminutive of Eoghann",m
Eòghann,"Well born, youth",m
Eòghnaidh,"Diminutive of Eòghann",m
Eònan,"Fear",m
Eòran,"Diminutive of Eònan",m
Failbhe,"Lively; spritely, wolf-slayer",m
Faolagan,"Form of Faolan",m
Faolan,"Wolf",m
Fearchar,"Very dear one",m
Fearghas,"Supreme choice",m
Finnean,"White-headed",m
Fionghan,"Fair-born",m
Fionn,"White, fair",m
Fionnghal,"White stranger",m
Fionnghuala,"White shoulders",f
Fionnlagh,"White hero",m
Fionntan,"Form of Fionn",m
Fionnuala,"White shoulder",f
Flaithbheartach,"Rich dominion; lordly in action",m
Flannagan,"Blood-red",m
Frangag,"French",f
Féidhelm,"Hospitable",f
Fìonan,"Form of Fionn",m
Fíne,"Vine",f
Fíona,"Vine",f
Garbhan,"Rough",m
Gilleathain,"Follower of St. John",m
Gillechrìosd,"Servant of Christ",m
Gilliosa,"Servant of Jesus",m
Gormal,"Deep-blue eyes",u
Gràinne,"Love",f
Guaire,"Proud; noble",m
Guinnein,"White-headed",m
Guirmean,"Blue one",m
Gòrdan,"Super fort",m
Hùisdean,"Form of Uisdean",m
Iùrnan,"Form of Earnan",m
Lachaidh,"Land of lochs",m
Lachann,"Land of lochs",m
Lachlainn,"Land of lochs",m
Macbeatha,"Son of life",m
Machar,"Plainsman",m
Macrath,"Son of prosperity",m
Madadh,"Canine, dog",m
Mairéad,"Pearl",f
Mallaidh,"Rebellion",f
Malmhìn,"Smooth brow",f
Manachan,"A monk",m
Maoilios,"Servant of Jesus",m
Maolsneachta,"Servant of snow",m
Maon,"Hero",m
Moireach,"Sea-settlement",m
Muadhnait,"Good noble",f
Muireach,"Lord",m
Muireall,"Sea-bright",f
Muireann,"Sea",f
Muirgen,"Born of the sea",f
Muirne,"Beloved",f
Mungan,"Beloved, amiable",m
Murchadh,"Sea-warrior",m
Murdaigean,"Diminutive of Murchadh",m
Máirín,"Obstinate",f
Méabh,"Intoxicating",f
Mór,"Great",f
Mùirne,"Affection",f
Nandag,"Favor, grace",f
Naoghas,"Form of Aonghas",m
Naomhan,"Saint",m
Neachdainn,"Rejoicing in purity",m
Neasan,"Son of Neas",m
Niall,"Champion, or cloud",m
Niallghas,"Champion choice",m
Nilidh,"Form of Niall",m
Ninnidh,"Diminutive of Ninean",m
Nuala,"White shoulder",f
Odhran,"Dun-colored",m
Oisean,"Form of oisian",m
Onchu,"Mighty dog",m
Osgar,"Divine spear",m
Rodachan,"Diminutive of Ruairidh",m
Ros,"Promontory",m
Ruarachan,"Diminutive of Ruairidh",m
Ríona,"Pure",f
Ròidh,"Reddish",m
Rònan,"Seal",m
Sabia,"Sweet",f
Saibh,"Sweet",f
Saoirse,"Freedom",f
Scotaidh,"A Scotsman",m
Sealbhach,"Fortunate; prosperous",m
Searc,"Form of Earc",m
Senga,"Slender",f
Sibéal,"God is my oath",f
Sidheag,"Wolf",f
Sinéad,"God is gracious",f
Siofra,"Elf",f
Sionn,"Fox",m
Slàinidh,"Health",f
Slàinte,"Health",f
Sláine,"Health",f
Sorcha,"Brightness; light",f
Suibhne,"Well-going",m
Sèitheach,"Wolf",m
Sìleas,"Youthful",f
Sìne,"God is gracious",f
Sòlas,"Joy, comfort, solace",m
Taog,"Poet; philospher",m
Taraghlan,"White brow",m
