Abelarda,"Noble, honorable",f
Adala,"Noble, honorable",f
Adalinda,"Noble serpent",f
Adaline,"Noble",f
Adela,"Noble, honorable",f
Adelgund,"Honorable fight",f
Adelheid,"Of a noble kind",f
Agilulf,"Edge of the blade",m
Alaric,"Ruler of all",m
Alberich,"Elf",m
Albert,"Noble",m
Alda,"Old",f
Aldebrand,"Old",m
Aldhard,"Old",m
Aldric,"Old",m
Aldwin,"Old",m
Aleit,"Noble sort",f
Alfhard,"Elf",m
Alfwin,"Elf",m
Aliprand,"Other, foreign",m
Alke,"Noble sort",f
Aloysia,"Famous in war",f
Altwidus,"Old",m
Amalric,"Work, labour",m
Amelinda,"Work",f
Andebert,"Wrath, zeal",m
Anselm,"God",m
Ansgar,"God",m
Arda,"Eagle",f
Armine,"Soldier",f
Arna,"Powerful eagle",f
Arnulf,"Eagle",m
Athala,"Noble",f
Athanaric,"Year",m
Athaulf,"Father",m
Avis,"Refuge in war",f
Aðalsteinn,"Noble",m
Badulf,"Fight, struggle",m
Badurad,"Fight, struggle",m
Baldhild,"Bold, brave",f
Baldwin,"Bold, brave",m
Balthild,"Bold; battle",f
Bathild,"Fight",f
Bathilde,"Battle",f
Bathildis,"Battle",f
Baugulf,"Bend, flex",m
Berard,"Bear",m
Bernard,"Bear",m
Berte,"Bright, clear",f
Berthilde,"Woman warrior",f
Bertram,"Bright raven",m
Bertrand,"Bright",m
Betlinde,"Serpent",f
Blanchard,"White",m
Bliktrud,"To shine with power",f
Brunhild,"Armed warrior woman",f
Brunnhilde,"Armed warrior woman",f
Bruno,"Armour, protection",m
Burkhard,"Protection",m
Carla,"Freeholder",f
Carol,"Song",f
Conrad,"Brave",m
Cynebald,"Royal",m
Cyneric,"Royal",m
Deorwine,"Dear",m
Diemut,"Mind, spirit",f
Diethild,"One who fights for the people",f
Dunstan,"Dark",m
Eadwig,"Wealth, fortune",m
Eadwulf,"Wealth, fortune",m
Ealdwine,"Old",m
Ealhhere,"Temple",m
Ealhstan,"Temple",m
Eardwulf,"Land",m
Ebba,"Boar",f
Edelgard,"Bright, noble",f
Egilhard,"Edge of a sword",m
Eike,"Point of a sword",f
Elfrun,"Systematic",f
Elke,"Noble sort",f
Ellanher,"Strength, power",m
Emmeline,"Work",f
Emmerich,"Universal power",m
Engel,"Angel",f
Eoforwine,"Boar",m
Erhard,"Honour, respect",m
Ermenrich,"Whole, universal",m
Erna,"Serious, determined",f
Erwin,"Army",m
Ewald,"Law, custom",m
Eysteinn,"Island",m
Faramund,"Journey",m
Ferdinand,"Journey",m
Filibert,"Much brightness",m
Filiberta,"Much brightness",f
Freda,"Peace",f
Fredenand,"Peace",m
Fridenot,"Peace",m
Fridumar,"Peace",m
Gaufrid,"Territory",m
Gautbert,"Goth",m
Gebhard,"Gift",m
Geraldine,"To rule with a spear",f
Gerbold,"Spear",m
Gerde,"Enclosure, stronghold",f
Gerlach,"Spear",m
Germund,"Spear",m
Gernot,"Spear",m
Gerulf,"Spear",m
Gilbert,"Pledge-bright",m
Giltbert,"Sacrifice, value",m
Gisbert,"Bright",m
Giselmund,"Hostage, pledge",m
Gisilfrid,"Hostage",m
Godabert,"God",m
Goteleib,"God",m
Grimwald,"Mask",m
Griselda,"Dark battle",f
Gumarich,"Man",m
Hadubert,"Battle",m
Hadufuns,"Battle, combat",m
Haduwig,"Contending battle",f
Hadwig,"Fight, duel",f
Hartmut,"Brave, hardy",m
Hartwin,"Brave friend",m
Heilwig,"Healthy battle-maiden",f
Hemma,"Home, homeland",f
Henni,"Sovereign of the homeland",f
Herman,"Army man",m
Hildebrand,"Battle sword",m
Hrafn,"Raven",m
Hubert,"Bright heart",m
Huberta,"Intelligent",f
Humbert,"Bright warrior",m
Imme,"Whole enclosure",f
Irmalinda,"Entirely gentle",f
Irmela,"Universal",f
Isold,"Ice battle",f
Jarl,"Chieftain, nobleman",m
Jette,"Home, homeland",f
Kirsa,"Cherry",f
Leofwine,"Dear friend",m
Leonard,"Brave lion",m
Leopoldine,"Bold, brave",f
Liebgard,"Dear, beloved",f
Lioba,"Dear",f
Lothar,"Famous army",m
Lotti,"Masculine",f
Ludgera,"People, spear",f
Luitgard,"People enclosure",f
Lulu,"Famous warrior",f
Mallory,"Army counselor",f
Mathilde,"Mighty battle-maiden",f
Mette,"Might, strength",f
Minna,"Helmet-protection",f
Odilie,"Wealth",f
Odina,"Wealth",f
Odovacar,"Wealthy, vigilant",m
Ostara,"Easter",f
Raina,"Advice",f
Reinhilde,"Bright fame",f
Richard,"Brave power",m
Robert,"Fame",m
Roberta,"Famed, bright",f
Romilda,"Famous battle",u
Rosamunde,"Protection",f
Roswita,"Fame, strength",f
Salida,"Happiness, joy",f
Sassa,"The Saxon",f
Sieglinde,"Tender victory",f
Sigeberht,"Bright victory",m
Sighilde,"Independent",f
Sindri,"Small, trivial",m
Swanhild,"Swan; battle",f
Talea,"Of a noble kind",f
Thale,"Of a noble kind",f
Thilde,"Might, fight",f
Tusnelda,"Giant, fight",f
Ulla,"Will, determination",f
Ulrich,"Prosperity and power",m
Valda,"Power; rule",f
Walter,"Ruler of the army",m
Wazo,"To go",m
Wigberta,"Bright battle",f
Wilhelmine,"Will, desire",f
Ásbjörn,"God",m
