Aasveig,"Home; a sacred place",f
Adalbjorg,"God-protection",f
Adalsteinn,"Noble stone",m
Agnar,"Edge of a sword",m
Aki,"Ancestor",m
Alvar,"Elf warrior",m
Amund,"Edge of a sword; protection",m
Andor,"Eagle",m
Annveig,"Eagle-protection",f
Ari,"Eagle",m
Arnbjorg,"Eagle; rescue",f
Arnfinn,"Eagle",m
Arvid,"Eagle; tree",m
Asa,"God",f
Asbjorn,"God; bear",m
Asdis,"God and goddess",f
Asger,"God-spear",m
Ask,"Ash tree",m
Asketill,"God; cauldron, helmet",m
Astridr,"Beloved God",f
Audgunn,"Wealth; war",f
Audhild,"Fortunate battle",f
Baggi,"Bag, pack",m
Balder,"Prince",m
Berghild,"Rescue-light",f
Bergunn,"Protection",f
Birger,"To help; to save",m
Bjarne,"Bright",m
Bjarni,"Bear",m
Bjorg,"Help; rescue",f
Bjorn,"Bear",m
Bo,"To live",m
Bodil,"Remedy",f
Brandr,"Sword; fire",m
Branson,"Son of Brandr",m
Brenda,"Sword",f
Brynja,"Armour",f
Brynjar,"Armour; warrior",m
Dagmar,"Day-maid",f
Dagny,"New day",f
Dagrun,"Secret knowledge",f
Dan,"A Dane",m
Dane,"Person from Denmark",m
Edda,"Great-grandmother",f
Egil,"Awe, terror",m
Eidunn,"Happiness, gift; alert",f
Einar,"One, alone; warrior",m
Eindride,"One, alone",m
Eldrid,"Beautiful fire",f
Elof,"Heir; ever",m
Embla,"Feminine variation of Eirik",f
Erica,"Heather",f
Erika,"Heather",f
Erland,"Foreigner",m
Erling,"Chieftain",m
Erna,"Brisk, vigorous",f
Eydis,"Happiness",f
Flemming,"From Flanders",m
Freya,"Lady",f
Frigg,"Beloved",f
Fritjof,"Thief of peace",m
Frode,"Learned, wise",m
Gandalf,"Wand elf",m
Geir,"Spear",m
Gerd,"Enclosure",f
Grid,"Peace",f
Gudbrand,"God's sword",m
Gudlaug,"Betrothed woman",f
Gudmund,"God-protection",m
Gudridr,"Beautiful God",f
Gudrun,"God’s secret lore",f
Gunborg,"War; rescue",f
Gunhild,"War, battle",f
Gunnar,"Warrior",m
Gunne,"War",m
Gunnr,"War",f
Gunvor,"Cautious in war",f
Gustav,"Staff of the Goths",m
Haldor,"Thor's rock",m
Halfdan,"Half-Dane",m
Hallbjorn,"Rock-bear",m
Halle,"Rock",m
Hallr,"Rock",m
Halstein,"Rock, stone",m
Halvard,"Rock guardian",m
Havardr,"High guardian",m
Heidrun,"Bright, clear",f
Helge,"Holy, blessed",m
Hella,"Holy",f
Herleifr,"Army; son, descendant",m
Hilda,"Battle",f
Holger,"Island-spear",m
Hroarr,"Famous spear",m
Hugleikr,"Heart, mind",m
Hulda,"Hiding, secrecy",f
Idonea,"Suitable",f
Idunn,"To love again",f
Inga,"From the Old Norse god Ing",f
Ingeborg,"Help, save, rescue",f
Ingegerd,"Enclosure",f
Ingolf,"Wolf",m
Ingrid,"Beautiful",f
Ingvar,"Warrior",m
Ingvild,"Battle",f
Ivor,"Yew bow; warrior",m
Jorlaug,"Boar; love",f
Jorunn,"Lover of horses",f
Kara,"Curly, curved",f
Kare,"Curly, curved",m
Kerr,"Rough ground",m
Knut,"Knot",m
Leif,"Descendant, heir",m
Liv,"Protector of life",f
Loki,"To break",m
Magnhild,"Mighty, strong; battle",f
Magni,"Mighty, strong",m
Nerthus,"Goddess of fertility",f
Oda,"Spear-secret",f
Odd,"Point of a sword",m
Oddmund,"Point of a sword; protection",m
Odin,"Inspiration, rage",m
Olaf,"Ancestor's rage",m
Orvar,"Arrow",m
Oscar,"Deer friend",m
Ove,"Edge of a sword",m
Oyvind,"Island; good fortune",m
Radulfr,"Wolf-counsel",m
Ragna,"Advice, counsel",f
Ragnbjorg,"Advice, counsel",f
Ragnheidr,"Bright; advice, counsel",f
Ragnhild,"Battle; advice, counsel",f
Randel,"Rim of a shield",m
Randi,"Strength",f
Randolf,"Rim of a shield; wolf",m
Reidun,"Nest, home",f
Roald,"Fame",m
Rollo,"Latinized form of Roul",m
Rudolf,"Famous wolf",m
Rune,"Secret lore",m
Saga,"Seeing one",f
Selby,"Willow farm",u
Sif,"Friendship",f
Signy,"Victory",f
Sigrun,"Victory; secret",f
Sigurd,"Victorious protector",m
Sigurda,"Bride",f
Sindri,"Sparkling",m
Sixten,"Victory stone",m
Skad,"Damage, harm",f
Skuld,"Goddesses of destiny",f
Snorri,"Attack",m
Solfrid,"Sun; beautiful",f
Sollaug,"House; war, battle",f
Solveig,"Sun; strength",f
Somerled,"Summer traveller",m
Steinar,"Stone-warrior",m
Sten,"Stone",m
Stigandr,"Wanderer",m
Stigr,"Path",m
Sven,"Boy",m
Sverre,"Wild, swinging",m
Thora,"Feminine variation of Thor",f
Torgny,"Thor's noise",m
Torleif,"Thor's descendant",m
Torsten,"Thor's stone",m
Torvald,"Thor's ruler",m
Trond,"To grow; to prosper",m
Trygve,"Trustworthy",m
Ulf,"Wolf",m
Urd,"Goddess of destiny",f
Valdis,"Goddess of the dead",f
Valkyrie,"Chooser of the slain",f
Verdandi,"Goddess of destiny",f
Vidar,"Wide warrior",m
Vigdis,"Goddess of war",f
Viggo,"War",m
Viking,"Viking, raider",m
Vragi,"Mooring post",m
Ylva,"Wolf",f
Þorbjorg,"Thor's protecto",f
Þordis,"Thor's goddess",f
Þorfredr,"Peace",m
Þorr,"Original Old Norse form of Thor",m
Þorveig,"Strength",f
Þorvi,"Holy",f
