Abelardus,"Noble strength",m
Abelia,"Honeysuckle",f
Abrahamus,"Father of a multitude",m
Acacallis,"Daffodil",f
Acacius,"Not evil",m
Acantha,"Thorn",f
Acca,"She-wolf",f
Accius,"Of Acca",m
Achaicus,"Belonging to Achaia",m
Achilles,"He who embodies the grief of the people",m
Acrisius,"Locust",m
Acteon,"Effulgence",m
Adalricus,"Noble ruler",m
Adelia,"Noble",f
Adelphia,"Born of the same womb; sibling",f
Adelphus,"Born of the same womb; sibling",m
Adeodatus,"Given to god",m
Adolphus,"Noble wolf",m
Adrastus,"Inescapable",m
Adsiltia,"Fair aspect",f
Aegle,"Radiance, splendor",f
Aella,"Storm wind; whirlwind",f
Aellae,"Whirlwinds",f
Aeneas,"Praiseworthy",m
Agacia,"Good",f
Agapetus,"Beloved",m
Agapius,"Divine love",m
Agathangelus,"Good angel",m
Aggie,"Chaste",f
Agrippa,"Wild horse",m
Aiolus,"Swift, quick-moving",m
Ajax,"Mourner",m
Alair,"Joyful, happy",m
Alaricus,"All-powerful; ruler of all",m
Alcestis,"Might of the home",f
Alcimus,"Valiant",m
Alcinder,"Strong",m
Alcmene,"Might of the moon",f
Alecto,"Unceasing",f
Alerio,"Eagle",m
Alexa,"Defender",f
Alexandria,"Defender of mankind",f
Alexia,"Defender",f
Alexina,"Defender",f
Alexis,"Defender",u
Alfonsus,"Noble and ready",m
Almericus,"Hard work",m
Aloisia,"Renowned warrior",f
Aloisius,"Famous warrior",m
Aloysius,"Famous warrior",m
Alphoeus,"Changing",m
Alphonsus,"Noble and ready",m
Althea,"Healing",f
Amadeus,"To love God",m
Amaliricus,"Work-power",m
Amalthea,"To soothe",f
Amantius,"Loving",m
Amara,"Unfading",f
Amaranthus,"Unfading",m
Ambrosia,"Immortal",f
Ambrosius,"Immortal",m
Americus,"Work-power",m
Amlethus,"Heavy",m
Amphion,"Moving double",m
Anacletus,"Called back; invoked",m
Anastasia,"Resurrection",f
Anatola,"East",f
Androcles,"Glory of a warrior",m
Andronicus,"Victory of a warrior",m
Anencletus,"Invoked",m
Angela,"Angel, messenger",f
Angelicus,"Angelic",m
Angelina,"Little angel",f
Angelus,"Messenger",m
Anicetus,"Unconquerable",m
Anna,"Favor; grace",f
Anthea,"Flower",f
Antigonus,"Against the ancestor",m
Antipater,"Like the father",m
Antoninus,"Invaluable",m
Antonius,"Invaluable",m
Aphrodisia,"Risen from the foam",f
Aphrodisius,"Risen from the foam",m
Apollo,"Destroyer",m
Apollonia,"Of Apollo",f
Apollonius,"Of Apollo",m
Appius,"Harsh by nature",m
Aquila,"Eagle",m
Aquilina,"Eagle",f
Arcadia,"Of Arcadia",f
Arcadius,"Of Arcadia",m
Archelaus,"Master of the people",m
Archippus,"Master of horses",m
Arethusa,"The waterer",f
Argus,"Bright, or shining",m
Aries,"Ram",m
Aristarchus,"Best ruler",m
Aristocles,"Best glory",m
Aristodemus,"Best of the people",m
Aristotle,"Best purpose",m
Arminius,"Army man",m
Artemidorus,"Gift of Artemis",m
Artemisia,"Safe and sound",f
Artemisius,"Safe and sound",m
Artorius,"Bear-man",m
Atalanta,"Equal in weight",f
Athamus,"Rich harvest",m
Athanasia,"Immortal",f
Atropus,"Cannot be turned; inflexible",f
Atticus,"From Attica",m
Augusta,"Venerable",f
Aurelia,"Golden",f
Aurelianus,"Golden",m
Avitus,"Ancestral",m
Basilius,"King",m
Bella,"Beautiful",f
Bellatrix,"Female warrior",f
Bellona,"To fight",f
Benignus,"Kind",m
Berengarius,"Bear-spear",m
Bernardus,"Bold as a bear",m
Bernice,"Bringer of victory",f
Bertramus,"Bright raven",m
Blasius,"Lisping",m
Bonifatius,"Good",m
Botilda,"Battle of revenge",f
Brendanus,"Prince",m
Brianus,"High hill",m
Brigitta,"Exalted one",f
Brutus,"Heavy",m
Caius,"Lord",m
Caligula,"Little boots",m
Calista,"Most beautiful",f
Calix,"Most beautiful",m
Callias,"Beauty",m
Calligenia,"Beauty-born",f
Callistrate,"Beautiful army",m
Callistus,"Most beautiful",m
Calvinus,"Bald",m
Calypso,"She who conceals",f
Cambria,"Compatriots",f
Cambyses,"Handsome king",m
Candace,"Prince of servants",f
Canicus,"Born of fire",m
Canutus,"Knot",m
Capaneus,"Arrogant",m
Caratacus,"Dearly loved",m
Carme,"To shear",f
Carmel,"Garden-land",f
Carolus,"Man",m
Casimiria,"Commands peace",m
Cassandra,"She who entangles men",f
Cassia,"Cassia",f
Cassiopeia,"She whose words excel",f
Cassius,"Empty, hollow",m
Castor,"Beaver",m
Cato,"All-knowing, wise",m
Catotigernos,"Battle lord",m
Catutigernos,"Battle lord",m
Celsus,"Upright, or stately",m
Cephalus,"Head",m
Cephas,"Rock stone",m
Cerberus,"Demon of the pit",m
Ceto,"Sea-monster",f
Ceyx,"Kingfisher",m
Chariclo,"Graceful spinner",f
Charis,"Charm and grace",f
Charon,"Fierce brightness",m
Chiron,"Surgeon",m
Chloe,"Green shoot",f
Chloris,"Green buds",f
Chlotharius,"Loud warrior",m
Christiana,"Believer",f
Christophorus,"Christ-bearer",m
Chrysanta,"Golden flower",f
Chrysaor,"Golden sword",m
Chryseis,"Golden",f
Chryses,"Golden",m
Cimon,"Sleepy",m
Circe,"Hoop-round",f
Clarissa,"Fame",f
Clarus,"Bright clear",m
Claudia,"Lame",f
Claudius,"Lame",m
Cleisthenes,"Glorious strength",m
Clemens,"Gentle and merciful",m
Clementia,"Gentle and merciful",f
Clementius,"Gentle and merciful",m
Cleophas,"Glory of the father",m
Clio,"Glory",f
Clopas,"My exchanges",m
Clotho,"Spinner",f
Columba,"Dove",m
Concepta,"Conception",f
Constantina,"Steadfast",f
Consus,"To sow",m
Cora,"Maiden",f
Core,"Maiden",f
Coretta,"Maiden",f
Cornelia,"Of a horn",f
Cornelius,"Horn",m
Cornell,"Of a horn",m
Cosmo,"Order, beauty",m
Crescentius,"To spring up; to grow or thrive",m
Crispinus,"Curly-headed",m
Cronus,"Time",m
Cyprian,"From Cyprus",m
Cyra,"Like the sun",f
Cyrus,"Like the sun",m
Cæcilia,"Blind",f
Cælestinus,"Heavenly",m
Cælestis,"Heavenly",u
