Adrik,"Dark",m
Afon,"Immortal",m
Agafia,"Good",f
Aglaya,"Beauty, splendor",f
Agrafina,"Wild horse",f
Agripin,"Wild horse",m
Agrippa,"Short for Agripina",f
Akilina,"Eagle",f
Aksinya,"Hospitable",f
Aleks,"Defender",m
Aleksandr,"Defender of men",m
Aleksandra,"Feminine form of Aleksandr",f
Aleksei,"A variant of Alexios",m
Alena,"Torch",f
Alik,"Defender",m
Alisa,"Nobility",f
Alma,"Derived from the name of the river Alma",f
Alyona,"Torch",f
Anatolii,"East; sunrise",m
Anfisa,"Flower",f
Ania,"Grace of God",f
Anton,"Priceless, of value",m
Antoniya,"Invaluable",f
Anushka,"A variant of Annushka",f
Anya,"Bringing goodness",f
Apollinariya,"Of Apollo",f
Arina,"Peace",f
Arisha,"Short for Arina",f
Artem,"Healthy, sound",m
Asya,"Resurrection",f
Avdotia,"Good-seeming",f
Boleslava,"Large glory",f
Borbala,"Foreign, strange",f
Borislava,"Battle glory",f
Borya,"Fighter",m
Daniil,"God is my judge",m
Darya,"Wealthy, rich",f
Demyan,"To subdue",m
Dima,"Loves the earth",m
Dmitriy,"Follower of Demeter",m
Dunya,"Short for Avdotya",f
Efim,"Holy, pious",m
Efrosin,"Mirth",m
Efrosinia,"Mirth",f
Elizaveta,"God is my oath",f
Ermolai,"People of Hermes",m
Esfir,"Star",f
Evgeniy,"Well born",m
Evgeniya,"Well born",f
Faddei,"Brave",m
Faina,"Light",f
Fekla,"Glory of God",f
Filipp,"One who loves horses",m
Filippa,"One who loves horses",f
Florentiy,"Blossoming",m
Foma,"Twin",m
Fédor,"Gift of God",m
Fédora,"Gift of God",f
Gala,"Calm, tranquil",f
Galina,"Gentle",f
Gavriil,"Warrior of God",m
Gavriila,"Warrior of God",f
Gerasim,"Old age",m
Gervasii,"Spear servant",m
Gleb,"Bread",m
Goga,"Tilling the ground",m
Gogol,"Golden-eyed duck",m
Gora,"A variant of Gora",m
Grigoriy,"Watchful, vigilant",m
Gulistanskiy,"Rose-land",f
Iakov,"Supplanter",m
Igor,"Bow warrior",m
Illarion,"Joyful, happy",m
Ilya,"The Lord is my God",m
Inna,"Strong water",u
Ioakim,"Jehovah raises up",m
Ioann,"God is gracious",m
Iolanta,"Violet flower",f
Ipatiy,"Most high, surpreme",m
Irinushka,"A variant of Irina",f
Isai,"God is salvation",m
Isidora,"Gift of Isis",f
Ivan,"God is gracious",m
Jekaterina,"Pure",f
Julija,"Descended from Jupiter",f
Kapeka,"Little stork",f
Karol,"Strong, manly",m
Karp,"Fisherman",m
Katia,"Pure",f
Katya,"Little pure one",f
Kazimir,"Commands peace",m
Khariton,"Grace",m
Kira,"Mistress, ruler",f
Kirill,"Lord",m
Klara,"Clear, bright",f
Klava,"Diminituve of Klavdiya",f
Klavdii,"Lame",m
Klavdiya,"Lame",f
Kliment,"Gentle and merciful",m
Kodiak,"Island",m
Koldan,"Sting",m
Kolzak,"Slippery",m
Kostya,"Short for Konstantin",m
Ksenija,"Stranger, foreigner",f
Kuzma,"Beauty, order",m
Lana,"Light",f
Lara,"Fortified town",f
Larissa,"Strong fort",f
Lazar,"My God has helped",m
Leonid,"Lion's son",m
Leontiy,"Lion-like",m
Liouba,"Love",f
Liza,"God is my oath",f
Luka,"Light",m
Lyuba,"Love",f
Makar,"Blessed",m
Maksim,"The greatest",m
Maksimilian,"The greatest rival",m
Manya,"Short for Mariya",f
Marfa,"Lady",f
Marianna,"Like Marius",f
Mariya,"Lady of the sea",f
Matryosha,"Lady",f
Matvei,"A variant of Matvey",m
Mefodiy,"Method",m
Mikhail,"Who is like God",m
Miron,"Myrrh",m
Modest,"Gentle",m
Nastasya,"Resurrection",f
Nataliya,"Birthday",f
Natalya,"Short for Natalia",f
Natasha,"Short for Natalya",f
Nazariy,"Of Nazareth",m
Nika,"Victor of the people",f
Nina,"Grace",f
Nona,"Ninth",f
Ogafia,"Good",f
Ogrifina,"Wild horse",f
Oleg,"Dedicated to the gods; holy",m
Olga,"Holy",f
Olya,"Dedicated to the gods",f
Onisim,"Useful",m
Ony,"Eagle",m
Osip,"May God add another",m
Pankratiy,"All power",m
Pasha,"Small",m
Pavel,"Little",m
Polina,"Of Apollo",f
Praskoviya,"Preparation",f
Prokhor,"Leader of the dance",m
Prokopiy,"Progress",m
Pyotr,"Rock",m
Rada,"Happy",f
Radinka,"Counsel",f
Radomil,"Happy favor",m
Raisa,"Prepared",f
Rodion,"Sprung from a hero",m
Rolan,"Fame of the land",m
Roman,"From Rome",m
Rostya,"Usurper",m
Rurik,"Red",m
Sasha,"Short for Aleksander",m
Semyon,"Listener",m
Serafina,"Burning one",f
Sergei,"Sergeant",m
Sevastian,"One from Sebaste",m
Shura,"Short for Aleksander",u
Slava,"Glory",u
Slavik,"Military glory",m
Sonya,"Knowledge",f
Spiridon,"Spirit",m
Stanislav,"Government",m
Stasya,"Glorious government",f
Stefan,"Crown",m
Stepan,"Wreath, crown",m
Sveta,"Light",f
Svetlana,"Light, shining",f
Syuzanna,"Lily",f
Talya,"Birthday",f
Tamara,"Palm tree",f
Tanya,"Father",f
Taras,"To cross; to transgress",m
Tasha,"Birthday",f
Tatiana,"Father",f
Terenti,"Rub, turn",m
Tikhon,"Hitting the mark",m
Timofey,"To honor God",m
Timur,"Iron",m
Toma,"Twin",u
Valeriya,"To be strong",f
Vanya,"God is gracious",m
Varinka,"Strange",f
Varushka,"Foreign, strange",f
Vasiliy,"King",m
Vasya,"Royal",m
Vaughn,"Royal",m
Venedikt,"Blessed",m
Veniamin,"Son of the right hand",m
Veronika,"Bringer of victory",f
Vikentiy,"Conquering",m
Viktoriya,"Conqueror",f
Vitaliy,"Vital",m
Vlad,"Bold ruler",m
Vladimir,"To rule",m
Volya,"Peaceful ruler",m
Yakov,"Supplanter",m
Yaropolk,"Spring people",m
Yaroslav,"Spring glory",m
Yaroslava,"Spring glory",f
Yasha,"Short for Yakov",m
Yegor,"A variant of Georgios",m
Yelena,"Light, torch",f
Yelizaveta,"God is my oath",f
Yermolai,"People of Hermes",m
Yevpraksiya,"Good conduct",f
Yuli,"Descended from Jupiter",m
Yulia,"Descended from Jupiter",f
Yulian,"A variant of Julian",m
Yuliya,"A variant of Julia",f
Yuriy,"Light of God",m
Yustina,"Fair, just",f
Zakhar,"Whom Jehovah remembered",m
Zhanna,"God is gracious",f
Zhenya,"Well-born",f
Zina,"Of Zeus",f
Zinoviy,"Life of Zeus",m
Zoya,"Life",f
