Abidin,"One who worships religion; a slave to religion",m
Acelya,"Azelea",f
Adalet,"Justice",f
Adem,"Turkish form of Adam",m
Adile,"Just, fair",f
Adnan,"Two heavens",m
Afet,"Woman of bewitching beauty",f
Ahu,"Bright and beautiful",f
Aiyla,"Moonlight, halo",f
Ajda,"Sprouting",f
Akara,"Chief deity",f
Akasma,"White climbing rose",f
Akay,"Full moon",f
Akçay,"White creek",m
Alaattin,"You did good",m
Alara,"One who makes things beautiful",f
Alev,"Flame, brightness",f
Alim,"Scholar; wise, learned",m
Alp,"Hero",m
Alparslan,"Courageous lion",m
Altan,"Red dawn",m
Altay,"Mountains of Altay",m
Altug,"Red horsetail",m
Aral,"From the Aral lake",m
Aras,"From the Aras river",m
Arda,"Marker, stake",m
Argun,"Clear day",m
Arslan,"A variant of Aslan",m
Asil,"Noble",m
Asli,"Genuine",f
Asuman,"Sky",f
Asya,"Asia",f
Ata,"Ancestor",m
Ayberk,"High moon",m
Aydan,"From the moon",f
Aydin,"Enlightened",m
Aygül,"Rose of the moon",f
Aylin,"Of the moon",f
Aynur,"Moon light",f
Aysel,"Flood of moon light",f
Aysu,"Moon water",f
Aysun,"As beautiful as the moon",f
Aytaç,"Moon",u
Ayten,"Moon",f
Azad,"Free",m
Azra,"Virgin",f
Baha,"Splendour, glory",m
Bahar,"Spring",f
Bahri,"Naval",m
Bahtiyar,"Lucky, fortunate",m
Baki,"Everlasting",m
Bala,"Child, baby",m
Balaban,"Great",m
Baler,"Man made of honey",m
Balian,"Master",m
Banu,"Lady",f
Bariş,"Peace",m
Basak,"Wheat",f
Bayram,"Festival",m
Başak,"Ear of wheat",f
Behiye,"Beautiful, attractive",f
Belgin,"Clear",f
Beren,"Strong, clever",f
Beria,"Most beautiful",f
Beril,"Green gem",f
Berk,"Solid, strong",m
Berkant,"Solid oath",m
Berker,"Solid man",m
Berna,"Young",f
Berrak,"Clear",f
Beste,"Melody",f
Bihter,"Most good",f
Bilge,"Wise",u
Billur,"Crystal",f
Binnaz,"A thousand charms",f
Binnur,"A thousand lights",f
Birdal,"One branch",f
Birgül,"One rose",f
Birsen,"You are the only one",f
Bora,"Storm, squall",m
Buglem,"Angel that heralds the heavens",f
Bulut,"Cloud",m
Burak,"Fast as a bolt of lightning",m
