Aderyn,"Bird",f
Aeron,"Carnage, slaughter",u
Aerona,"Feminine form of the unisex Aeron",f
Aeronwen,"Berries",f
Aeronwy,"Carnage river",f
Afanen,"Raspberry",f
Afon,"River",u
Alis,"Welsh form of Alice",f
Alison,"A variant of Alis",f
Alun,"Little rock",m
Anarawd,"Undisgraced, free of shame",m
Andras,"Man; warrior",m
Aneirin,"Modest, noble",m
Angharad,"Undisgraced, free of shame",f
Anwen,"Very fair",f
Anwyn,"A variant of Anwen",f
Arawn,"Un-world; under-world",m
Arianrhod,"Silver wheel",f
Arthfael,"Bear chief",m
Arvel,"Wept over",m
Arwel,"Prominent, of significance",m
Awstin,"Deserving of respect",m
Bedwyr,"Grave-knower",m
Beli,"A variant of Bel",m
Berwyn,"Head, top",m
Bethan,"God is my oath",f
Betrys,"Welsh form of Beatrice",f
Blodeuyn,"Flower",f
Blodwen,"White flower",f
Braith,"Diversely-colored",u
Bran,"Crow",m
Branwen,"Raven",f
Branwenn,"Fair raven",f
Brava,"Courageous",f
Brenin,"King",m
Brenin Llwyd,"Grey-haired king",m
Briallen,"Primrose",f
Brin,"Hill",f
Broderick,"Reddish-brown",m
Bron,"Fair-breasted",f
Brongwyn,"Breast",f
Brychan,"Pied, speckled",m
Bryn,"Hill",f
Brynmor,"Great hill",m
Brynn,"Hill",m
Brynne,"A variant of Bryn",f
Cadell,"Little battle",m
Cadeyrn,"Battle king",m
Cadi,"Pure",f
Cadoc,"Battle, war",m
Cadomedd,"Shirker of battle",m
Cadwalader,"Leader of battle",m
Caerwyn,"Fair love",m
Cai,"Lord",m
Caradawg,"Love",m
Caradoc,"Dearly loved",m
Caron,"To love",f
Carwyn,"Love",m
Carys,"Love",f
Catrin,"Welsh form of Caterine",f
Ceinwen,"Lovely and fair",f
Celyddon,"Wood-dweller",m
Celyn,"Holly",m
Ceri,"To love",f
Ceridwen,"Poetry",f
Cerridwyn,"Fair poetess",f
Cerys,"Love",f
Cledwyn,"Hardy and fair",m
Crearwy,"Purity",f
Crystin,"Believer",f
Culhwch,"Something narrow and straight",m
Cynddelw,"Exalted effigy",m
Cynwrig,"High hill",m
Cystenian,"Steady, stable",m
Dai,"Beloved",m
Danbrann,"Grail heroine",f
Deiniol,"God is my judge",m
Delyth,"Pretty",f
Derog,"The arrogant one",m
Deryn,"A variant of Aderyn",f
Dewi,"A variant of Dewydd",m
Dewydd,"Beloved",m
Dillon,"Great sea",m
Dilwen,"Fair, holy",f
Dilwyn,"Truly blessed",m
Dilys,"Genuine, steadfast",f
Drystan,"Sorrow",m
Dwyn,"To steal",f
Dwynwen,"A variant of Dwynwyn",f
Dwynwyn,"Holy white",f
Dyfed,"Beloved",m
Dylan,"Great sea",m
Dylis,"A variant of Dilys",f
Eigyr,"Maiden, virgin",f
Eilian,"Second, a moment in time",u
Eilwen,"Fair-browed",f
Einion,"Anvil",m
Eira,"Snow",f
Eirian,"Brightly beautiful",f
Eirlys,"Snowflake",f
Elain,"Fawn",f
Eleri,"More than full; overflowing",f
Elian,"A variant of Eilian",m
Elidyr,"Brass, bronze",m
Elis,"The Lord is my God",m
Elisud,"Kind",m
Emlyn,"Hard work",u
Emrys,"Immortal",m
Emyr,"King",m
Enfys,"Rainbow",f
Ercwlff,"Glory of Hera",m
Esyllt,"Ice battle",f
Eugein,"Well-born",m
Euguein,"Well-born",m
Eurig,"Gold",m
Eurwen,"Gold",f
Ewein,"A variant of Yvain",m
Ffraid,"Exalted one",f
Floyd,"Gray-haired",m
Folant,"Healthy, strong",m
Gaenor,"White and smooth",f
Gareth,"Old",m
Garreth,"A variant of Gareth",m
Garth,"Short for Gareth",m
